rounds,global_train_loss,client_1_train_loss,client_2_train_loss,client_3_train_loss,phase,global_eval_loss,client_1_eval_loss,client_2_eval_loss,client_3_eval_loss
1,0.024723581809669777,0.011821450406897624,0.005994700957002613,0.0477309877821325,train,,,,
2,8.885175558524038,9.19087529878669,9.031767151078034,8.576512244819956,train,,,,
3,0.6942090508692439,0.6059146807741652,0.7539265559325762,0.7021478945708147,train,,,,
4,0.19139092719798328,0.19704961071376878,0.16390307652051578,0.20970996846132312,train,,,,
5,0.20735043383995075,0.13989461602253406,0.20438744467001307,0.2520780406049325,train,,,,
6,0.027091810488224646,0.020903305802541017,0.016729887813302254,0.039224337560547065,train,,,,
7,0.15788991120164078,0.1471804918425052,0.12536963731445314,0.19049448489231752,train,,,,
8,0.03602586002639032,0.03622452800638312,0.03203308185613172,0.03907830891323567,train,,,,
9,0.025616361683664917,0.021778890335108998,0.01797729913919752,0.03410547275085612,train,,,,
10,0.021443837521512663,0.014076102254991698,0.014847784393701121,0.03132038051823111,train,,,,
1,,,,,eval,9.925078071091885,9.976542702888077,10.00263674723258,9.831531776215563
2,,,,,eval,1.3836319280429141,1.2864945372182275,1.3619409297631837,1.461328144772189
3,,,,,eval,0.29234505846417363,0.2793154488706755,0.24040741897930812,0.3416395899531878
4,,,,,eval,0.4930816239130249,0.5965077027088073,0.38867445768531034,0.5114476139352474
5,,,,,eval,0.0446630791944702,0.03825337379663002,0.032692949841941314,0.05814581121184792
6,,,,,eval,0.2849148775837404,0.2677974948383068,0.2738929928920669,0.3043146318768071
7,,,,,eval,0.058860671175644294,0.058361862074286265,0.060165285674857814,0.058136951014934914
8,,,,,eval,0.07942846919600849,0.08157266843303032,0.07285282868754381,0.08330663724478181
9,,,,,eval,0.03762738416111641,0.029206974828750388,0.029050754143804952,0.049671815384144585
10,,,,,eval,0.024166644736454038,0.02422947784015051,0.01716736676326117,0.029676996694472633
