rounds,global_train_loss,client_1_train_loss,client_2_train_loss,client_3_train_loss,phase,global_eval_loss,client_1_eval_loss,client_2_eval_loss,client_3_eval_loss
1,0.060497451821608664,0.050457800779989376,0.0754683470132379,0.054886818870769856,train,,,,
2,0.0501811079114122,0.04303664805194144,0.061823973596099605,0.045402372116636114,train,,,,
3,0.03301664599777848,0.030687521369411396,0.03679660604824406,0.03147120507733828,train,,,,
4,0.02311111896142827,0.02521765925261656,0.01896794663582576,0.025084546800462012,train,,,,
5,0.09821757328470164,0.13036913409949796,0.08119597292633211,0.09161332340153225,train,,,,
6,0.2413626279354296,0.32313238347952183,0.21121286144610454,0.21412421298722048,train,,,,
7,0.25878895411289354,0.344619151054003,0.2291022733793716,0.22864027143100746,train,,,,
8,0.1145356495533517,0.14284069991938256,0.10170295503195621,0.10701104089268336,train,,,,
9,0.021382307639243203,0.023065369116210262,0.017147692506770073,0.023693543954909378,train,,,,
10,0.026312573517837078,0.0262168324050995,0.027103101454163916,0.025744328722924335,train,,,,
11,0.03221918638738271,0.03158089558891801,0.03653659243776861,0.029188020349360994,train,,,,
12,0.03129485359279101,0.03099643348109143,0.03509305396054771,0.02846347572156836,train,,,,
13,0.02426473953502349,0.024778261343356568,0.02422478901667752,0.02397496539424203,train,,,,
14,0.01857242029190054,0.020110104877034178,0.014330835601571806,0.020980216712892734,train,,,,
15,0.2682511752481348,0.33200257945549394,0.2563058483031522,0.2378281431605494,train,,,,
1,,,,,eval,0.06409671217552101,0.06336948575150445,0.06427737528526492,0.0644011314938371
2,,,,,eval,0.046233633364009846,0.04450223699387997,0.04433088948821383,0.04879731688915772
3,,,,,eval,0.02883077837463572,0.024299031223763406,0.021941373686816854,0.03704588006441304
4,,,,,eval,0.2714206442720825,0.2570847495265069,0.2508342365308536,0.29645654366906365
5,,,,,eval,0.5616999510964443,0.5397941990117777,0.5304837628514627,0.5997660564232645
6,,,,,eval,0.6487602328103754,0.6240933522902202,0.6149819649445875,0.690542449360345
7,,,,,eval,0.47365799680151993,0.45226068236528116,0.4466548248757337,0.5080907382796502
8,,,,,eval,0.025556841583956245,0.021627643169196104,0.019632098033667212,0.03264131290791136
9,,,,,eval,0.04299476628189692,0.04280686709077716,0.0422035506516485,0.04373390306970011
10,,,,,eval,0.054491135834650956,0.0551796487303341,0.055503108295780514,0.0532703927898622
11,,,,,eval,0.05533597342485959,0.056136878627718725,0.05657691512577442,0.05386568525901746
12,,,,,eval,0.045311405918979544,0.04556221596185824,0.04529335747513555,0.04517152775315159
13,,,,,eval,0.022111467072505227,0.020471811066529226,0.017458774403288597,0.026786465422020147
14,,,,,eval,1.2721786435343123,1.2464309209358233,1.2360062304272064,1.316512177370994
15,,,,,eval,1.853633488592214,1.8225534612436138,1.8061504191653366,1.9101591192652332
